name,smiles
283-avr-enamine,CCC1(NC(=O)NC1=O)c1cnn(C)c1
284-avr-enamine,CC(C)CNC(=O)Cn1ccc(=O)[nH]c1=O
285-avr-enamine,CCOCCn1c(CO)nc2ccccc12
286-avr-enamine,Cc1nc([nH]c(=O)c1CC(=O)O)N1CCCC1
287-avr-enamine,OC(=O)O.O=c1cc(cnn1C1CCCNC1)N1CCC1
288-avr-enamine,COc1ccc(NC(=O)NC2CCCCC2)cn1
289-avr-enamine,CC(C)(C)C(=O)NCc1ccc(nc1)N1CCOCC1
290-avr-enamine,Cc1cc2ncn(CC(O)CN3CCNC(=O)C3)c2cc1C
291-avr-enamine,Cc1cc2ncn(CC(O)CN3CCC(CC3)C(=O)N)c2cc1C
292-avr-enamine,CNC(=O)CSc1nc2ccccc2n1CCOC
293-avr-enamine,Cc1cc(O)cc(=O)n1CC(=O)NCC1(CCC1)C1CC1
294-avr-enamine,CCC(NC(=O)Cc1c(C)nn(C)c1C)C1CCCCC1
295-avr-enamine,CC1CN(CCCNC(=O)Nc2ccccn2)CC(C)O1
296-avr-enamine,Clc1cnn(CC(=O)NC2CCS(=O)(=O)C2)c(=O)c1Cl
297-avr-enamine,Clc1cnn(CC(=O)NC(=O)NC2CCCC2)c(=O)c1Cl
298-avr-enamine,CS(=O)(=O)NCCC(=O)NCc1ccc(nc1)N1CCOCC1
299-avr-enamine,CC(C)C(CNC(=O)C(C)n1cncn1)N1CCOCC1
300-avr-enamine,Cc1cccnc1NC(=O)NCC(C)(C)N1CCOCC1
301-avr-enamine,COc1ncccc1NC(=O)NC1CCN(CC1)C1CC1
302-avr-enamine,CN(C)C(=O)CNC(=O)Nc1ccc(nc1)N1CCOCC1
303-avr-enamine,CC1CCC(CC1)NS(=O)(=O)CC(=O)NCCc1ccccn1
304-avr-enamine,O[C@H](COCc1ccccc1)Cn1nc(ccc1=O)C(F)(F)F
305-avr-enamine,CCCn1c(N)c(N(CC)CCOC)c(=O)[nH]c1=O
306-avr-enamine,CN(CCNC(=O)Nc1ccccn1)C1CCCCC1
307-avr-enamine,CC(C)N1CCC(CNC(=O)Nc2cc(C)on2)C1
308-avr-enamine,CCC(NC(=O)Nc1c(C)ccn(C)c1=O)C1CCCO1
309-avr-enamine,CCSC1CCCCC1NC(=O)Nc1cc(C)on1
310-avr-enamine,COc1ccc(COCC(O)Cn2cnc3ccccc23)cc1
311-avr-enamine,CNC(=O)c1ccc(=O)n(CC(=O)NC2CCCC2)c1
312-avr-enamine,N=c1sccn1CC(=O)NC(=O)NC1CCCC1
313-avr-enamine,OC(COc1ccccc1Cl)Cn1cnc(cc1=O)C1CCC1
314-avr-enamine,CCCCNC(=O)Cc1csc(n1)N1CCNC1=O
315-avr-enamine,CN(CCNC(=O)Cn1cc(C)cn1)C1CC1
316-avr-enamine,Cc1cc(NC(=O)NCC2(O)CCCC2)ccn1
